seq,A,G,d,B,P,M,P_enc,G_enc,d_enc,M_enc,P_enc_seq,G_enc_seq,d_enc_seq,M_enc_seq
([])Gypi2:0Gypi2:0Gypi2:0@(0)  549  475,,[],1,Gypi2:0Gypi2:0Gypi2:0,,Gypi2:0Gypi2:0Gypi2:0,-1,1,1,6,-1,7,1,16
Gxpi2:0([])@(0)  580  444,Gxpi2:0,[],1,,Gxpi2:0,,2,1,1,-1,2,7,1,-1
Gxpi2:0([])Gxpi2:0@(0)  279  745,Gxpi2:0,[],1,Gxpi2:0,Gxpi2:0,Gxpi2:0,2,1,1,2,2,7,1,12
Gxpi2:0([])Gypi2:0@(0)  553  471,Gxpi2:0,[],1,Gypi2:0,Gxpi2:0,Gypi2:0,2,1,1,3,2,7,1,13
Gxpi2:0([])Gxpi2:0Gxpi2:0@(0)  570  454,Gxpi2:0,[],1,Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0,2,1,1,4,2,7,1,14
Gxpi2:0([])Gxpi2:0Gxpi2:0Gxpi2:0@(0)  837  187,Gxpi2:0,[],1,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,1,1,5,2,7,1,15
Gxpi2:0([])Gypi2:0Gypi2:0Gypi2:0@(0)  562  462,Gxpi2:0,[],1,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,2,1,1,6,2,7,1,16
Gypi2:0([])@(0)  558  466,Gypi2:0,[],1,,Gypi2:0,,3,1,1,-1,3,7,1,-1
Gypi2:0([])Gxpi2:0@(0)  548  476,Gypi2:0,[],1,Gxpi2:0,Gypi2:0,Gxpi2:0,3,1,1,2,3,7,1,12
Gypi2:0([])Gypi2:0@(0)  246  778,Gypi2:0,[],1,Gypi2:0,Gypi2:0,Gypi2:0,3,1,1,3,3,7,1,13
Gypi2:0([])Gxpi2:0Gxpi2:0@(0)  547  477,Gypi2:0,[],1,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,1,1,4,3,7,1,14
Gypi2:0([])Gxpi2:0Gxpi2:0Gxpi2:0@(0)  534  490,Gypi2:0,[],1,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,3,1,1,5,3,7,1,15
Gypi2:0([])Gypi2:0Gypi2:0Gypi2:0@(0)  855  169,Gypi2:0,[],1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,3,1,1,6,3,7,1,16
Gxpi2:0Gxpi2:0([])@(0)  233  791,Gxpi2:0Gxpi2:0,[],1,,Gxpi2:0Gxpi2:0,,4,1,1,-1,4,7,1,-1
Gxpi2:0Gxpi2:0([])Gxpi2:0@(0)  577  447,Gxpi2:0Gxpi2:0,[],1,Gxpi2:0,Gxpi2:0Gxpi2:0,Gxpi2:0,4,1,1,2,4,7,1,12
Gxpi2:0Gxpi2:0([])Gypi2:0@(0)  568  456,Gxpi2:0Gxpi2:0,[],1,Gypi2:0,Gxpi2:0Gxpi2:0,Gypi2:0,4,1,1,3,4,7,1,13
Gxpi2:0Gxpi2:0([])Gxpi2:0Gxpi2:0@(0)  872  152,Gxpi2:0Gxpi2:0,[],1,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,4,1,1,4,4,7,1,14
Gxpi2:0Gxpi2:0([])Gxpi2:0Gxpi2:0Gxpi2:0@(0)  554  470,Gxpi2:0Gxpi2:0,[],1,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,4,1,1,5,4,7,1,15
Gxpi2:0Gxpi2:0([])Gypi2:0Gypi2:0Gypi2:0@(0)  563  461,Gxpi2:0Gxpi2:0,[],1,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,4,1,1,6,4,7,1,16
Gxpi2:0Gxpi2:0Gxpi2:0([])@(0)  533  491,Gxpi2:0Gxpi2:0Gxpi2:0,[],1,,Gxpi2:0Gxpi2:0Gxpi2:0,,5,1,1,-1,5,7,1,-1
Gxpi2:0Gxpi2:0Gxpi2:0([])Gxpi2:0@(0)  859  165,Gxpi2:0Gxpi2:0Gxpi2:0,[],1,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,5,1,1,2,5,7,1,12
Gxpi2:0Gxpi2:0Gxpi2:0([])Gypi2:0@(0)  546  478,Gxpi2:0Gxpi2:0Gxpi2:0,[],1,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,1,1,3,5,7,1,13
Gxpi2:0Gxpi2:0Gxpi2:0([])Gxpi2:0Gxpi2:0@(0)  544  480,Gxpi2:0Gxpi2:0Gxpi2:0,[],1,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,5,1,1,4,5,7,1,14
Gxpi2:0Gxpi2:0Gxpi2:0([])Gxpi2:0Gxpi2:0Gxpi2:0@(0)  248  776,Gxpi2:0Gxpi2:0Gxpi2:0,[],1,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,5,1,1,5,5,7,1,15
Gxpi2:0Gxpi2:0Gxpi2:0([])Gypi2:0Gypi2:0Gypi2:0@(0)  576  448,Gxpi2:0Gxpi2:0Gxpi2:0,[],1,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,5,1,1,6,5,7,1,16
Gypi2:0Gypi2:0Gypi2:0([])@(0)  577  447,Gypi2:0Gypi2:0Gypi2:0,[],1,,Gypi2:0Gypi2:0Gypi2:0,,6,1,1,-1,6,7,1,-1
Gypi2:0Gypi2:0Gypi2:0([])Gxpi2:0@(0)  518  506,Gypi2:0Gypi2:0Gypi2:0,[],1,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,6,1,1,2,6,7,1,12
Gypi2:0Gypi2:0Gypi2:0([])Gypi2:0@(0)  851  173,Gypi2:0Gypi2:0Gypi2:0,[],1,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,6,1,1,3,6,7,1,13
Gypi2:0Gypi2:0Gypi2:0([])Gxpi2:0Gxpi2:0@(0)  560  464,Gypi2:0Gypi2:0Gypi2:0,[],1,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,6,1,1,4,6,7,1,14
Gypi2:0Gypi2:0Gypi2:0([])Gxpi2:0Gxpi2:0Gxpi2:0@(0)  548  476,Gypi2:0Gypi2:0Gypi2:0,[],1,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,6,1,1,5,6,7,1,15
Gypi2:0Gypi2:0Gypi2:0([])Gypi2:0Gypi2:0Gypi2:0@(0)  265  759,Gypi2:0Gypi2:0Gypi2:0,[],1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,1,1,6,6,7,1,16
Gypi2:0(Gxpi2:0)Gypi2:0@(0)  277  747,Gypi2:0,Gxpi2:0,1,Gypi2:0,Gypi2:0,Gypi2:0,3,2,1,3,3,8,1,13
