circ_idx,seq,A,G,d,B,P,M,P_enc,G_enc,d_enc,M_enc,P_native_gate_count,G_native_gate_count,d_native_gate_count,M_native_gate_count,full_native_gate_count,remaining_native_gate_count,remaining_wait_num_4-pihalf,remaining_wait_num_pihalf,full_sequence_length
25,([])@(0)  792  232,,[],1,,,,-1,4,1,-1,0,4,1,0,4,32769,8192,1,8194
26,([])Gxpi2:0@(0)  559  465,,[],1,Gxpi2:0,,Gxpi2:0,-1,4,1,5,0,4,1,1,5,32768,8192,0,8194
27,([])Gypi2:0@(0)  532  492,,[],1,Gypi2:0,,Gypi2:0,-1,4,1,6,0,4,1,1,5,32768,8192,0,8194
28,([])Gxpi2:0Gxpi2:0@(0)  225  799,,[],1,Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0,-1,4,1,7,0,4,1,2,6,32767,8191,3,8196
29,([])Gxpi2:0Gxpi2:0Gxpi2:0@(0)  535  489,,[],1,Gxpi2:0Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0Gxpi2:0,-1,4,1,9,0,4,1,3,7,32766,8191,2,8195
30,([])Gypi2:0Gypi2:0Gypi2:0@(0)  549  475,,[],1,Gypi2:0Gypi2:0Gypi2:0,,Gypi2:0Gypi2:0Gypi2:0,-1,4,1,10,0,4,1,3,7,32766,8191,2,8195
31,Gxpi2:0([])@(0)  580  444,Gxpi2:0,[],1,,Gxpi2:0,,5,4,1,-1,1,4,1,0,5,32768,8192,0,8194
32,Gxpi2:0([])Gxpi2:0@(0)  279  745,Gxpi2:0,[],1,Gxpi2:0,Gxpi2:0,Gxpi2:0,5,4,1,5,1,4,1,1,6,32767,8191,3,8197
33,Gxpi2:0([])Gypi2:0@(0)  553  471,Gxpi2:0,[],1,Gypi2:0,Gxpi2:0,Gypi2:0,5,4,1,6,1,4,1,1,6,32767,8191,3,8197
34,Gxpi2:0([])Gxpi2:0Gxpi2:0@(0)  570  454,Gxpi2:0,[],1,Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0,5,4,1,7,1,4,1,2,7,32766,8191,2,8196
