legend,a (slope),b (intercept),n_points,equation
active_15_53,0.011136806040754831,9.832911081297404,5,y = 0.0111x + 9.83
active_15_5300,0.38235181086519127,5.2479175050300455,4,y = 0.3824x + 5.25
active_1_53,0.002871214787365116,7.48090815266662,5,y = 0.0029x + 7.48
active_1_530,0.01710773480662983,7.92838858195212,3,y = 0.0171x + 7.93
active_1_5300,0.1051714285714286,12.329523809523778,3,y = 0.1052x + 12.33
active_30_53,0.022596419265811823,9.50577499159996,5,y = 0.0226x + 9.51
active_5_53,0.00476443661971831,11.577147887323942,4,y = 0.0048x + 11.58
active_5_530,0.03404818913480886,15.002082494969812,4,y = 0.0340x + 15.00
thermal_none_53,0.027057042253521135,13.611901408450695,4,y = 0.0271x + 13.61
