qubit,R_freq,01_freq,12_freq,T1,T2e,RO,1Q,2Q
A,10.033120905,4.602437040326029,4.4314370403260295,20.040903970653428,35.070042834517274,96.52499999999999,99.93009778765789,0.928585025020467
B,9.621274765,4.371021706139408,4.198021706139408,26.298533022558505,-1150695.0637369985,55.800000000000004,100.00000508698581,0.9563536553010473
C,9.946188915,4.3506234140356,4.1786234150356,49.02531884205061,75.02381375860317,96.45,99.64990074504342,0.9530099531063494
D,9.423681765000001,4.103841455007612,3.926841456007612,35.66981050139104,54.82944265702048,97.175,99.95926646553508,0.9148493304682923
E,9.747121316000001,4.511157576120122,4.340157576120122,28.726576719614265,43.886207878015455,95.9,99.8634697630159,0.9152399706397102
F,9.324661041,4.457211625353062,4.284211626353062,27.740094302898925,41.58579321234422,96.25,99.92194410067661,0.8636681666945198
G,9.84195,4.515294137142473,4.344294137142474,14.084960638370674,27.446464181406814,93.25,99.824812937438,0.9271233248807312
H,9.517800000000001,4.319096919838079,4.144096919838079,30.311031870346433,40.703071048005874,97.25,99.94036202529544,0.9271233248807312
