qubit,R_freq,01_freq,12_freq,T1,T2e,RO,1Q,2Q
A,10.033120905,4.602427843918906,4.431427843918906,22.740242658660833,48.344327058571196,96.825,99.9254948192149,0.9135372855074636
B,9.621674765,4.371016568475439,4.198016568475439,26.6707470373635,38.47884605541929,93.9,99.51536706099382,0.9701702441601312
C,9.946188915,4.350639676666064,4.178639677666063,47.73039469653776,23.492190524773903,95.95,99.68251416145398,0.962953475394953
D,9.423681765000001,4.103838705724113,3.926838706724112,37.927768406370866,55.60609000798158,97.10000000000001,99.95391669892366,
E,9.748021316,4.511157657767578,4.340157657767579,30.096616440189454,48.344327058571196,94.325,99.87614712089848,0.8998169100194803
F,9.324661041,4.457211719914627,4.284211720914627,27.67222868916285,38.47884605541929,95.19999999999999,99.92623865951222,0.8636681666945198
G,9.84185,4.51528750385168,4.34428750385168,18.576301549387104,23.492190524773903,90.675,99.80242625908828,0.9271233248807312
H,9.517800000000001,4.319100603231333,4.144100603231333,32.57442913737004,55.60609000798158,96.15,99.9412044687675,
