qubit,R_freq,01_freq,12_freq,T1,T2e,RO,1Q
A,10.033120905,4.602431469283181,4.431431469283181,19.1173971437722,36.774436815197504,96.39999999999999,99.92751533224495
B,9.622374765,4.3710186230957575,4.1980186230957575,26.01807899271169,37.93268320737639,88.925,99.5904331325456
C,9.946188915,4.35094207854901,4.178942079549009,48.98537662934971,23.917372635240348,96.175,99.49287186706893
D,9.423681765000001,4.10383850075685,3.92683850175685,40.216472478175646,57.11451164801527,96.7,99.95478986830389
E,9.747921316000001,4.51115700592144,4.340157005921441,28.784245609694857,36.774436815197504,94.925,99.86716456803588
F,9.324661041,4.457211969033976,4.284211970033976,26.023511802249402,37.93268320737639,96.44999999999999,99.92517375298723
G,9.84195,4.515290805345701,4.3442908053457,16.32749840496436,23.917372635240348,91.39999999999999,99.7884946412832
H,9.517800000000001,4.319095572865338,4.144095572865338,32.704466471210516,57.11451164801527,96.675,99.8977631610476
