qubit,R_freq,01_freq,12_freq,T1,T2e,RO,1Q
A,10.033120905,4.602429151263122,4.431429151263122,19.41431369378838,34.106931878562165,95.8,99.92088094973639
B,9.621174765000001,4.371021483072799,4.198021483072799,27.46758723819727,53.55058282465652,88.775,100.00000547542159
C,9.945988915000001,4.350599000159709,4.178599001159708,47.53430871966108,64.02232533847739,92.8,99.59208902455521
D,9.423581765,4.103840085923989,3.9268400869239892,38.449450495697214,54.79009114999532,96.8,99.96347519873007
E,9.747721316,4.511159399713436,4.340159399713436,29.82367123067933,49.52268341886748,94.675,99.85721225697647
F,9.324661041,4.4572126061760775,4.2842126071760775,26.96655516796999,37.35469930207458,96.575,99.92912279577088
G,9.84185,4.515291538730621,4.344291538730622,17.38447441185589,23.73101062324518,93.475,99.77311451256696
H,9.517700000000001,4.319091793158797,4.144091793158797,32.259291868779094,42.289481695122525,96.95,99.93460930913149
