qubit,R_freq,01_freq,12_freq,T1,T2e,RO,1Q,2Q
A,10.033220905,4.602430686461371,4.431430686461372,20.51662825195393,33.072735437153106,96.25,99.92725753652516,0.9534730846516385
B,9.621974765000001,4.371021175611785,4.198021175611785,28.306497905260418,48.200145359257554,94.12499999999999,99.58374392601918,0.9378974976532816
C,9.946188915,4.350933508536662,4.178933509536662,48.831448821001345,80.02915983628033,95.875,99.59073036777897,0.9456040603829399
D,9.423581765,4.103840383576003,3.9268403845760034,37.56217630711879,57.58884757280564,96.875,99.95275796226406,0.9363911708423871
E,9.747421316,4.511161486354518,4.340161486354519,29.352329649061048,47.81145385954799,96.6,99.87031999342797,0.9128506566255705
F,9.324661041,4.457212126832465,4.284212127832465,25.21397569603079,35.69789949112018,96.25,99.92736415661031,0.9924132400646328
G,9.84185,4.515283154750535,4.344283154750535,14.748260933129918,26.135524336892857,91.975,99.80747983153897,0.9475782447607958
H,9.517800000000001,4.319101820333446,4.1441018203334465,31.384742526073175,41.70918680431777,97.125,99.93846079436318,0.9475782447607958
