qubit,R_freq,01_freq,12_freq,T1,T2e,RO,1Q
A,10.033020905,4.602429471263951,4.431429471263952,19.26887883367906,35.9358014491603,95.52499999999999,99.92501360945616
B,9.622274765,4.371018991832831,4.198018991832831,27.006371276553814,46.94973018686448,90.575,99.57052261612007
C,9.946188915,4.350598486494211,4.17859848749421,46.33627624618329,74.17086765709938,96.125,99.67414906713918
D,9.423681765000001,4.103840177087162,3.9268401780871613,41.40562825168244,59.31661896721082,96.39999999999999,99.96117773424014
E,9.747921316000001,4.511159673031689,4.340159673031689,29.24006262685902,48.25770607104685,94.6,99.87551596556494
F,9.324661041,4.457212785162967,4.284212786162967,27.866231366012276,39.74774194477251,95.8,99.92997722206583
G,9.84185,4.515289486029879,4.344289486029879,16.744912794424668,25.56612142915985,91.77499999999999,99.80515157395645
H,9.517800000000001,4.319099537118302,4.1440995371183025,32.47089326056901,45.40555849379604,96.25,99.94010073097344
