qubit,R_freq,01_freq,12_freq,T1,T2e,RO,1Q
A,10.033120905,4.602431469283181,4.431431469283181,19.1173971437722,36.774436815197504,96.275,99.92541499317008
B,9.622374765,4.3710186230957575,4.1980186230957575,26.01807899271169,37.93268320737639,88.925,99.57463963496036
C,9.946088915,4.35094207854901,4.178942079549009,48.98537662934971,23.917372635240348,96.22500000000001,99.51737830004646
D,9.423681765000001,4.10383850075685,3.92683850175685,40.216472478175646,57.11451164801527,96.7,99.95866015564566
E,9.748021316,4.51115700592144,4.340157005921441,28.784245609694857,36.774436815197504,94.6,99.86953805643728
F,9.324661041,4.457211969033976,4.284211970033976,26.023511802249402,37.93268320737639,96.44999999999999,99.92616576726634
G,9.84195,4.515290805345701,4.3442908053457,16.32749840496436,23.917372635240348,91.55,99.80217752891612
H,9.517800000000001,4.319095572865338,4.144095572865338,32.704466471210516,57.11451164801527,96.675,99.93585638274156
